symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-02-05 00:00:00+00:00,156.49,163.88,156.0,159.1,66090446,37.1528892447,38.9073774006,37.0365564711,37.7725393241,264361784,0.0,1.0
AAPL,2018-02-06 00:00:00+00:00,163.03,163.72,154.0,154.83,66625484,38.7055756506,38.8693911888,36.5617288241,36.7587822976,266501936,0.0,1.0
AAPL,2018-02-07 00:00:00+00:00,159.54,163.4,159.07,163.09,50852130,37.8770014064,38.7934187653,37.7654169094,38.71982048,203408520,0.0,1.0
AAPL,2018-02-08 00:00:00+00:00,155.15,161.0,155.03,160.29,49594129,36.8347547211,38.2236255888,36.8062650623,38.0550617741,198376516,0.0,1.0
AAPL,2018-02-09 00:00:00+00:00,156.41,157.89,150.24,157.07,66723743,37.2834668476,37.6362545909,35.8127233501,37.4407911115,266894972,0.63,1.0
AAPL,2018-02-12 00:00:00+00:00,162.71,163.89,157.51,158.5,60560145,38.7851984577,39.066475172,37.5456739541,37.78166035,242240580,0.0,1.0
AAPL,2018-02-13 00:00:00+00:00,164.34,164.75,161.65,161.95,32104756,39.1737417156,39.2714734553,38.5325261551,38.6040371841,128419024,0.0,1.0
AAPL,2018-02-14 00:00:00+00:00,167.37,167.54,162.88,163.04,39669178,39.896003109,39.9365260255,38.8257213742,38.8638605897,158676712,0.0,1.0
AAPL,2018-02-15 00:00:00+00:00,172.99,173.09,169.0,169.79,50609595,41.2356430533,41.259480063,40.2845463669,40.4728587434,202438380,0.0,1.0
AAPL,2018-02-16 00:00:00+00:00,172.43,174.82,171.77,172.36,39638793,41.1021557991,41.6718603305,40.9448315351,41.0854698923,158555172,0.0,1.0
AAPL,2018-02-20 00:00:00+00:00,171.85,174.26,171.42,172.05,33531012,40.9639011429,41.5383730763,40.8614020013,41.0115751623,134124048,0.0,1.0
AAPL,2018-02-21 00:00:00+00:00,171.07,174.12,171.01,172.83,35833514,40.7779724674,41.5050012627,40.7636702615,41.1975038378,143334056,0.0,1.0
